,article_title,contentful_id,updatedAt,num_total_images,num_updated_images,outdated_images,outdated_topics,num_total_topics,num_updated_topics,total_sentences,total_words,reading_difficulty,num_passive_voice,bad_links,positive_feedback,total_feedback
200169316,Why doesn't my RSS feed show images?,6pQ59eOqfKy0NKiAYWHBTD,2021-03-24,0.0,0.0,,,2.0,2.0,8.0,120.0,7.13,2.0,,30,46
115000308492,Will Cloudflare Apps make my site slower?,2aMNiH4WJT5C3p16rV5vco,2021-03-24,0.0,0.0,,,1.0,1.0,3.0,194.0,10.83,5.0,,227,308
200170466,Managing Custom SSL certificates,49ldWsKYZlkoL9W1QYlhQu,2021-03-23,0.0,0.0,,,8.0,8.0,33.0,1165.0,8.23,18.0,,144,265
360033554452,Deleting a Cloudflare account,6THd7Rv4EtcF6oEupTOKqX,2021-03-23,1.0,1.0,,Related resources,4.0,3.0,18.0,390.0,7.98,6.0,,37,219
200169376,Can I use Cloudflare and Varnish together?,3Ww5CeQl3bZI4IM3RXc7db,2021-03-23,0.0,0.0,,,1.0,1.0,5.0,108.0,7.31,2.0,,11,33
200170156,Understanding the Cloudflare Cookies,23u2lIrvvQtGPJWjmXar77,2021-03-22,0.0,0.0,,,8.0,8.0,34.0,1390.0,8.47,30.0,,205,297
360020615111,Configuring a CNAME setup,4TaZAAaMr4WTSmz85vsYRj,2021-03-19,1.0,1.0,,,4.0,4.0,19.0,564.0,7.99,12.0,,507,707
360026016272,Glossary of SSL terms,2pX7pJM6phCwyiHe6F59P0,2021-03-18,0.0,0.0,,,2.0,2.0,25.0,691.0,8.81,11.0,,2220,4406
360058639551,WordPress.com and Cloudflare,4XdWPzsj8WmQxYbbOkpWp5,2021-03-17,1.0,1.0,,,3.0,3.0,38.0,628.0,7.39,5.0,,0,0
225894428,Purchasing Additional Page Rules,jqu2L4Agn0lC6sI0xipCB,2021-03-17,1.0,1.0,,,1.0,1.0,13.0,230.0,6.71,1.0,,3,9
115000546328,Troubleshooting Cloudflare Rate Limiting,1SM2hahkiuGl3otBtxBVzS,2021-03-16,0.0,0.0,,Related resources,3.0,2.0,12.0,377.0,9.04,7.0,,8,21
360049822312,Understanding Automatic Platform Optimization (APO) with WordPress,7bmJIYul8BGreT67yZhRg8,2021-03-11,0.0,0.0,,,10.0,10.0,56.0,1908.0,7.58,21.0,,33,74
115002205227,What is AMP and how can I use it?,6vc9YOaQIIIZnxSMRPMSfW,2021-03-11,0.0,0.0,,,1.0,1.0,3.0,150.0,9.69,2.0,,14,23
200170786,Restoring original visitor IPs,7kbhyln3mExmPc6hXqnD8V,2021-03-09,1.0,0.0,https://app.contentful.com/spaces/slt3lc6tev37/assets/4idE1j6rXHZnTdt7yq1wEr,,5.0,5.0,46.0,2498.0,8.56,24.0,,552,983
360044640572,Understanding Cache Analytics,2kyuIVHsMevEeT44GFkWdT,2021-03-08,2.0,0.0,https://app.contentful.com/spaces/slt3lc6tev37/assets/5ZBkv8Mw28gdUDWI14WdFC | https://app.contentful.com/spaces/slt3lc6tev37/assets/NyTj2p0x0iDqlYP69o43S,Related resources | Example reports for troubleshooting cache performance | Overview,4.0,1.0,15.0,709.0,8.88,4.0,,5,7
360057976851,Delivering Videos with Cloudflare,6dLGIRtkyGL9NuVFdKOpGg,2021-03-05,1.0,1.0,,,4.0,4.0,21.0,963.0,8.53,7.0,,0,1
200172906,Troubleshooting surges or spikes in web traffic,fBHOCiB8ybhLKVvIiyiag,2021-03-01,0.0,0.0,,,6.0,6.0,8.0,535.0,9.91,1.0,,418,789
200170026,Understanding Cloudflare Hotlink Protection,19wO7PBsHFEC2hhxyUYRSS,2021-02-25,0.0,0.0,,Related resources,3.0,2.0,6.0,225.0,9.21,6.0,http://example.com/logo.png,215,319
200172476,Contacting Cloudflare Support,43373jeSc2plfK5dttvB1d,2021-02-24,1.0,0.0,https://app.contentful.com/spaces/slt3lc6tev37/assets/7EzQIekjPg11VhIMZyH1pJ,,4.0,4.0,22.0,837.0,9.38,7.0,,5286,10190
360024520152,Understanding Cloudflare Firewall Analytics,F7I0p9mJda6NXk4A4m0P2,2021-02-22,8.0,2.0,https://app.contentful.com/spaces/slt3lc6tev37/assets/2eodetzwOHaiN0wxCfDRDe | https://app.contentful.com/spaces/slt3lc6tev37/assets/3esaA3zGSKYgToiY0ZFQZO | https://app.contentful.com/spaces/slt3lc6tev37/assets/3uoO4HwHmCqTFgfp2JN5Rz | https://app.contentful.com/spaces/slt3lc6tev37/assets/5Zf3Cns4SvjW0VHYgDfaNE | https://app.contentful.com/spaces/slt3lc6tev37/assets/6YZDEmw4mzE2hT2bpdwhvc | https://app.contentful.com/spaces/slt3lc6tev37/assets/EM8nP7aucLlSEdpriA6KY,Filter firewall analytics | Print or download PDF firewall analytics report | Related resources | Export activity log data | Select visible columns in the activity log,11.0,6.0,25.0,1235.0,8.93,12.0,,82,140
200169156,Identifying network ports compatible with Cloudflare's proxy,AERKuYtqearnfMgzHPDve,2021-02-11,0.0,0.0,,,2.0,2.0,4.0,151.0,9.59,2.0,,236,332
360007897072,Billing for Cloudflare Access,2gKcF3Jea9oiIp2FcNBCRs,2021-02-11,1.0,1.0,,,5.0,5.0,18.0,730.0,8.05,8.0,,53,88
360047356332,Billing for Cloudflare for Teams,5KtcTfjU14hFunRtgcMmE1,2021-02-11,1.0,1.0,,,4.0,4.0,23.0,856.0,8.01,7.0,,5,10
360001793351,About Cloudflare Access,1q3pKQxsaKL9QPEUHVlodJ,2021-02-11,0.0,0.0,,,2.0,2.0,3.0,192.0,11.98,2.0,,32,71
360021621972,Exposing applications running on Microsoft Azure with Cloudflare Argo Tunnel,3X0HWytq22c0kjXKUxZ2yh,2021-02-11,0.0,0.0,,,5.0,5.0,13.0,495.0,8.98,6.0,,3,7
360047880631,Getting Started with Cloudflare: Product Demos,4dyF6elfRQEMBFO5GmCwj3,2021-02-11,0.0,0.0,,,7.0,7.0,10.0,648.0,10.12,6.0,,35,51
115000224552,Configuring Argo through the UI,6iYSgfISPxc4u9WSjCHJuU,2021-02-11,0.0,0.0,,,1.0,1.0,14.0,388.0,8.35,5.0,,20,65
115000310792,Configuring CAA Records,58n2CeqwTt5FXYzFjLTB0T,2021-02-11,2.0,2.0,,,3.0,3.0,19.0,462.0,7.03,6.0,,46,67
115002911927,Caching HTML with Drupal,5Qihg0W13Dj0vYmtvAuKAY,2021-02-10,1.0,1.0,,,4.0,4.0,14.0,324.0,7.42,3.0,,8,19
228503147,Speed Up WordPress and Improve Performance,2Se9WWaRPIVbQ09LHdWgu4,2021-02-10,0.0,0.0,,,1.0,1.0,15.0,504.0,8.6,6.0,,92,153
360054452251,Deprecation notice: Cloudflare Mobile SDK,227m6pCsC8SjVHN8yEEcXt,2021-02-10,0.0,0.0,,,1.0,1.0,6.0,203.0,7.72,1.0,,11,13
360052428572,Updates to Security Events in Cloudflare Logs,GwCuJrsDkAw2v8CWSzilb,2021-02-10,0.0,0.0,,,3.0,3.0,11.0,625.0,9.18,13.0,,32,38
204144518,SSL FAQ,3LhKEUy7Yfu7szvrVdbsWP,2021-02-08,0.0,0.0,,,17.0,17.0,11.0,1190.0,11.44,16.0,,129,211
200169496,Is Cloudflare compatible with Bad Behavior?,3Us5wU3lWvq8dt9OAMASfj,2021-02-08,1.0,1.0,,,1.0,1.0,3.0,55.0,8.79,0.0,,24,29
204964927,"How does Cloudflare calculate ""Total threats stopped""?",3QGAWZTA70QukRwnzQNSPO,2021-02-08,0.0,0.0,,,1.0,1.0,5.0,157.0,9.12,3.0,,19,39
115002722267,Install the Cloudflare Grafana Plugin,nusglyGHfDzmQo5Y0PRG9,2021-02-08,5.0,5.0,,,4.0,4.0,12.0,411.0,7.45,1.0,,25,30
200172556,When does Cloudflare crawl my site?,3oEfsON8arsaaQVRnz9ZTg,2021-02-08,0.0,0.0,,,1.0,1.0,11.0,174.0,8.12,3.0,,21,34
231369048,Using Cloudflare with a personal domain on Medium,6vMPTAdjeUlnSa2ba0YoMW,2021-02-08,0.0,0.0,,,1.0,1.0,18.0,328.0,7.13,7.0,,15,35
218377098,WordPress Jetpack and Cloudflare,76aw9nPhoY9XTid01QIy8V,2021-02-08,0.0,0.0,,,1.0,1.0,8.0,230.0,8.84,4.0,,18,36
360022014111,Understanding Keyless SSL,7gmUYH4Tche5Hl0PWUTcTX,2021-02-08,0.0,0.0,,,4.0,4.0,13.0,380.0,9.77,3.0,,22,34
219178057,Configuring Cloudflare Mirage,K9733w1s8TXtvtu57AUUk,2021-02-05,2.0,2.0,,,4.0,4.0,14.0,356.0,8.17,6.0,,15,29
360021902391,Enabling Cloudflare SSL on Azure Storage Static Web Hosting Applications,5QLyJZvwr2tJacIOEijkfC,2021-02-05,0.0,0.0,,,6.0,6.0,12.0,508.0,8.44,5.0,,9,25
115004180727,Using Cloudflare with your Magento 1 online store,2Mbq6fy1z5o91POesLdRnU,2021-02-05,0.0,0.0,,,1.0,1.0,13.0,386.0,8.46,2.0,,12,20
201883834,Using Cloudflare and Drupal: Five Easy Recommended Steps,1mHXlC2ZBlZxAnC0fn9EiL,2021-02-05,0.0,0.0,,,1.0,1.0,12.0,635.0,8.95,2.0,,16,26
200169356,How do I use WordPress Multi-Site (WPMU) With Cloudflare?,1EsivacuybYXsb9YW5TyEK,2021-02-05,0.0,0.0,,,1.0,1.0,8.0,189.0,8.39,2.0,,18,49
115002374208,How do I get Google CDN Interconnect discount using Cloudflare?,1TyS3mAl7qiHJhVfU6EvhQ,2021-02-05,0.0,0.0,,,1.0,1.0,1.0,127.0,13.67,1.0,,35,69
200168336,Understanding Cloudflare Mobile Redirect,1eubkZGjlM1yT1D1L8YJJg,2021-02-05,1.0,1.0,,,5.0,5.0,14.0,302.0,8.16,2.0,,62,97
200169906,Troubleshooting missing images,6SMKfpqdgl5QrNIUIiLCQp,2021-02-05,0.0,0.0,,,2.0,2.0,2.0,90.0,10.4,0.0,,90,199
200169526,Disabling Cloudflare features on admin pages for content management systems like WordPress,3gFrGJxa5IP9A3NnoNN7UA,2021-02-05,1.0,1.0,,,1.0,1.0,8.0,136.0,7.61,0.0,,62,91
206973867,Status code metrics in Cloudflare Site Analytics,7l1ZvEtcRNhLPop87ABEsL,2021-02-05,2.0,2.0,,,6.0,6.0,10.0,599.0,9.53,11.0,,81,132
360021806811,Getting Started with Cloudflare Caching,3vynl2MPm3PKm6jj2aEM7p,2021-02-05,0.0,0.0,,,5.0,5.0,2.0,189.0,13.09,1.0,,56,81
214820528,Validating a Let’s Encrypt Certificate on a Site Already Active on Cloudflare,1qQEQlM0x7PY8smaxmuFQm,2021-02-05,0.0,0.0,,,3.0,3.0,5.0,437.0,11.47,9.0,,52,151
206652947,Using Page Rules to Re-Write Host Headers,4ob3A6gQL5h7Z4Ge3lTUQ1,2021-02-05,1.0,1.0,,,1.0,1.0,6.0,175.0,8.05,5.0,,27,97
200170476,Troubleshooting mixed content errors,396IcAuiYDhYAGEs500Upf,2021-02-05,7.0,7.0,,,4.0,4.0,13.0,476.0,8.83,1.0,,65,142
227342487,"What settings are applied when I click ""Optimize Cloudflare for WordPress"" in Cloudflare's WordPress plugin?",2J6AmHXoHQ3mp9VUAwLFF5,2021-02-05,1.0,1.0,,,1.0,1.0,1.0,99.0,13.81,0.0,,153,232
360021801151,Getting Started with Cloudflare DNS,3BQi8vuNZVUXJSVyyunrHJ,2021-02-05,0.0,0.0,,,5.0,5.0,5.0,333.0,11.58,5.0,,140,241
200172336,Creating Page Rules,1VOPFhe42nX09lBON3DVqe,2021-02-05,0.0,0.0,,,2.0,2.0,5.0,175.0,7.81,2.0,,524,1062
115003014512,4xx Client Error,7FyuEV1ZgJFJMT9LmFyytA,2021-02-05,0.0,0.0,,,1.0,1.0,24.0,1430.0,9.23,27.0,,38,82
218616807,Understanding DNS Firewall,73JEnIyfGeHSI2lVWTFKE4,2021-02-04,1.0,1.0,,,7.0,7.0,14.0,532.0,8.31,4.0,,18,35
218616817,Configuring DNS Firewall,2U6bUzavUcnHu46osT4B18,2021-02-04,0.0,0.0,,,4.0,4.0,19.0,307.0,7.77,3.0,,33,46
200168346,Best practices for Railgun and a Load Balancer,yleqR2ntARHLKpdN7xG7P,2021-02-04,3.0,3.0,,,3.0,3.0,12.0,879.0,9.89,21.0,,13,16
218048207,Does Cloudflare support SignalR?,4VRBy5u1an61KnLRrf42oN,2021-02-04,0.0,0.0,,,1.0,1.0,1.0,58.0,11.38,1.0,,10,14
115001255631,Argo Analytics,6SekQh66ciQlNPwZzETkNo,2021-02-04,3.0,3.0,,,1.0,1.0,9.0,296.0,8.46,3.0,,8,19
115004180627,Problems logging into Magento 1 Admin Panel,7CYBTzgiZjSERDVuHJubYp,2021-02-04,0.0,0.0,,,1.0,1.0,8.0,158.0,7.21,0.0,,12,21
360016143912,How do I get discounted data transfer with my cloud provider?,5gk32cxgIcOJbl2K8S5ORT,2021-02-03,0.0,0.0,,,5.0,5.0,14.0,461.0,8.01,1.0,,11,15
360029367652,Understanding Amp Real URL,7vhfXcJ92wsO2eSZKnvewa,2021-02-03,1.0,1.0,,,3.0,3.0,6.0,409.0,10.61,1.0,,7,15
360031777052,Caution when enabling Query String Sort with WordPress admin pages,4dEtzppF1vbkQ8bCRIp2jz,2021-02-03,2.0,2.0,,,4.0,4.0,10.0,563.0,10.02,8.0,,5,11
201997250,Cloudflare and Joomla: Recommended First Steps,1xxdpiGBRXitTQKAuOJ8wm,2021-02-03,0.0,0.0,,,6.0,6.0,13.0,646.0,8.96,2.0,,8,21
204183088,Understanding HSTS (HTTP Strict Transport Security),41ooppxxhXa1LW7pmJiENP,2021-02-03,0.0,0.0,,,5.0,5.0,15.0,526.0,8.5,14.0,,34,49
360046106112,Understanding the CSAM Scanning Tool,744oHdeF6EmWo5jO1E6TYb,2021-02-03,1.0,1.0,,,5.0,5.0,15.0,583.0,8.08,13.0,,8,11
360007553512,Cloudflare analytics with Workers,01Alq7Xcwu8t8VBqf33PGp,2021-02-03,0.0,0.0,,,4.0,4.0,7.0,406.0,8.58,7.0,,60,87
206776707,Does Cloudflare Do Prefetching?,3ctLINusiMSQoT8S5XueSA,2021-02-03,0.0,0.0,,,5.0,5.0,7.0,272.0,8.29,6.0,,10,21
200169566,Troubleshooting Cloudflare domains blocked by China,1z2LfdNR5uHVKybnSsSOs5,2021-02-03,0.0,0.0,,,1.0,1.0,1.0,107.0,13.53,3.0,http://www.greatfirewallofchina.org/,71,121
204191238,What are the types of Threats?,KdRrkACXxhbox7fAzOCbF,2021-02-03,0.0,0.0,,,1.0,1.0,20.0,626.0,7.58,11.0,,63,79
115003384591,Using Kubernetes on GKE and AWS with Cloudflare Load Balancer,1wLvMWOEILi0MyHFuunV7n,2021-02-02,3.0,3.0,,,6.0,6.0,85.0,2763.0,7.29,34.0,,14,25
115002323852,Using Cloudflare API with Postman Collections,545iHpS3UyMdmsoJpdh1e4,2021-02-02,6.0,6.0,,,1.0,1.0,6.0,241.0,8.44,0.0,https://api.cloudflare.com ,17,26
115002816808,How do I enable HTTP/2 Server Push in WordPress,4Om5E2UYyEarpil56oZZry,2021-02-02,3.0,3.0,,,1.0,1.0,3.0,179.0,10.13,3.0,,34,54
200172356,Why isn't a Page Rule working?,4bMTVl85aG5qS0NuHHSmOF,2021-02-02,0.0,0.0,,,1.0,1.0,2.0,110.0,8.38,1.0,,33,174
200168886,How do I add a WordPress.com Custom Domain Mapping site to Cloudflare?,3WcFS8hvgkwFZD9VGKFUkq,2021-02-02,0.0,0.0,,,1.0,1.0,5.0,195.0,7.27,2.0,,62,94
115001661191,Cloudflare PHP API Binding,6nzwvlEkF9fEZNECsjGNXx,2021-02-02,5.0,5.0,,,8.0,8.0,7.0,520.0,10.68,3.0,,28,41
115003011091,3xx Redirection,2m7DGD0bmLeLFyNjoSzfsz,2021-02-02,0.0,0.0,,,1.0,1.0,11.0,680.0,9.21,12.0,,39,61
200168086,Does Cloudflare compress resources?,2iZqXI3mLPNIs4sq3bxDre,2021-02-02,0.0,0.0,,,2.0,2.0,3.0,135.0,9.48,2.0,,15,27
200171036,What does Scrape Shield do?,2QSbvvqzzFvQgb0az8hrIu,2021-02-02,1.0,1.0,,,1.0,1.0,1.0,60.0,11.06,0.0,,48,82
200170036,What does Server Side Excludes (SSE) do?,MqNfPBkIk6V5qafyjKurT,2021-02-02,1.0,1.0,,,1.0,1.0,3.0,130.0,8.33,1.0,,101,153
216532638,Understanding Custom SSL certificate packs,1oZSJz0oIhvn0SzJFMuFP7,2021-02-02,0.0,0.0,,,2.0,2.0,5.0,187.0,9.2,1.0,,24,38
200169876,Why isn't Auto Minify working?,6qC38hF0cUYBgXT0L0Wu5r,2021-02-02,0.0,0.0,,,1.0,1.0,6.0,342.0,8.76,6.0,,32,59
360020348832,Understanding a CNAME Setup,6wKR3HEInLJ8pLYLFVEggg,2021-02-02,2.0,2.0,,Limitations,6.0,5.0,19.0,564.0,7.99,12.0,,507,707
200170166,Best Practices: DDoS preventative measures,11JZ1iFxV2TOROjRdlMtl4,2021-01-29,0.0,0.0,,Related resources,2.0,1.0,10.0,438.0,9.05,1.0,,204,262
219336007,Using Railgun with Origin CA Certificates,8KQam8A3hNavIh6B3eDrt,2021-01-27,0.0,0.0,,,1.0,1.0,3.0,258.0,10.83,5.0,,873,1307
236166048,Caching Static HTML with WordPress/WooCommerce,2BACM5vyFewxPD1lLi9xeP,2021-01-27,0.0,0.0,,,3.0,3.0,12.0,360.0,7.98,3.0,,132,347
200170566,Troubleshooting SSL errors,3m8vnea6VzzDcQtvJ1tl4r,2021-01-27,0.0,0.0,,,7.0,7.0,17.0,934.0,9.05,5.0,,175,529
200169006,Setting up Custom Nameservers at Cloudflare,7aoXEjjtJ19KdZk8kB6f6f,2021-01-27,0.0,0.0,,,3.0,3.0,6.0,192.0,8.59,3.0,,60,189
218444227,Increase Logging for Railgun,18YbFRHfq4my3mpECehk5Z,2021-01-27,0.0,0.0,,,1.0,1.0,5.0,216.0,9.65,4.0,,1682,2314
115003206852,Understanding Origin Cache-Control,7hBjQrHgcFCXuyshMdEgC4,2021-01-27,0.0,0.0,,,5.0,5.0,23.0,1350.0,8.9,35.0,,47,73
200168236,Configuring Cloudflare IP Geolocation,5r2m6aern5u4VYHxHNrC8L,2021-01-27,1.0,1.0,,,5.0,5.0,10.0,360.0,9.44,5.0,,146,197
217912538,My DNS doesn't work,1DgXdId4AoX3Nl1B1hQ3LW,2021-01-27,0.0,0.0,,,3.0,3.0,3.0,299.0,12.39,4.0,,204,665
200168056,What does Rocket Loader do?,4RTFe4ubwNenILLslAHzKK,2021-01-27,0.0,0.0,,,1.0,1.0,3.0,206.0,11.18,0.0,,182,249
115000219871,Troubleshooting redirect loop errors  ,5nNrOTk2scXlAeV01YHQLx,2021-01-27,0.0,0.0,,,4.0,4.0,10.0,451.0,9.17,3.0,,179,354
200169806,Troubleshooting crawl errors,7JPFjXjm8eyxnYNNvZQV5P,2021-01-26,0.0,0.0,,,5.0,5.0,18.0,651.0,8.99,4.0,,107,200
360047358211,Connecting PagerDuty to Cloudflare,Dh26ZiIsHUTWYjNI5lw8m,2021-01-25,0.0,0.0,,,6.0,6.0,9.0,396.0,8.61,9.0,,31,41
115003013892,1xx Informational,1rErapMmL87vqXiBBOlv7o,2021-01-25,0.0,0.0,,,1.0,1.0,16.0,349.0,7.89,9.0,,144,221
360021111972,Troubleshooting DNSSEC,3vQwNwppdek4qO9A7bWN0i,2021-01-25,3.0,3.0,,,6.0,6.0,11.0,837.0,9.81,19.0,,28,63
200168276,Understanding Browser Cache TTL,5fRQBqn7ScYkXxYonnTri,2021-01-25,0.0,0.0,,,3.0,3.0,8.0,311.0,8.66,0.0,,111,140
203295200,End-to-end HTTPS with Cloudflare - Part 2: SSL certificates,1h7SUGMfRwDNDjY4wm5NXn,2021-01-25,0.0,0.0,,,5.0,5.0,13.0,607.0,9.49,5.0,,163,265
360023040812,Best Practice: Caching Everything While Ignoring Query Strings,2Lc8mPPaCnIcY7xQlvLCTM,2021-01-22,1.0,1.0,,,5.0,5.0,11.0,587.0,8.98,8.0,,5,16
200168396,What will Cloudflare compress?,4BBe0b6p7v7XylTZL8891u,2021-01-22,0.0,0.0,,,2.0,2.0,4.0,174.0,9.89,2.0,,107,127
224509547,Recommended Page Rules to Consider,2mLLlOoYDZN3bEI0A79qL5,2021-01-22,0.0,0.0,,,1.0,1.0,5.0,475.0,11.09,0.0,,70,100
115003014432,HTTP Status Codes,6fsPAShR1kg8loP9dBJ53p,2021-01-22,0.0,0.0,,,4.0,4.0,10.0,267.0,8.91,2.0,,174,255
360020296512,DNS Troubleshooting FAQ,6MuxPExLK0VpTmAE0w7jq3,2021-01-22,0.0,0.0,,,5.0,5.0,9.0,541.0,8.98,7.0,,58,145
360021357131,Delegating Subdomains Outside of Cloudflare,4wv20efowbdHY4CHPmtbtw,2021-01-22,0.0,0.0,,,3.0,3.0,6.0,187.0,9.39,3.0,,130,213
200504045,Using Cloudflare with your API,1XeSP0QkCrRb63BqmeHyby,2021-01-22,0.0,0.0,,,1.0,1.0,14.0,617.0,8.71,8.0,,76,102
200168196,"How do I minify HTML, CSS and JavaScript to optimize my site?",3vzeK0vFcHz16D2kAm2tL3,2021-01-22,1.0,1.0,,,1.0,1.0,5.0,147.0,8.11,1.0,,158,202
200172316,How do I include or exclude a specific URL from Cloudflare's page rules?,M8Q5qXWh0mTdSyNzM060l,2021-01-22,0.0,0.0,,,1.0,1.0,7.0,271.0,8.59,4.0,,57,116
204899617,Authenticated Origin Pulls,3v58WPE3dNxUiKHQiJ29eG,2021-01-22,3.0,3.0,,,6.0,6.0,7.0,468.0,9.79,6.0,,150,260
203041594,"Cloudflare SSL cipher, browser, and protocol support",1xEMBLbvs2LSiAt6XMTQ4B,2021-01-22,0.0,0.0,,SHA-256 ECDSA Certificate Chain (Digicert) | Digicert intermediates and roots for signing Cloudflare Certificates | Related resources | SHA-256 RSA Certificate Chain (Digicert) | Cloudflare TLS/SSL protocol support | dash.crypto,8.0,2.0,17.0,956.0,9.45,8.0,,80,155
205893698,Configure Cloudflare and Heroku over HTTPS,5FEwoWRE6fvIod9ffjUUoM,2021-01-21,0.0,0.0,,,5.0,5.0,12.0,644.0,8.62,7.0,,108,174
360021023712,Best Practices: Speed up your Site with Custom Caching via Cloudflare Page Rules,bGZEyI2GfS09DOAfYpgAq,2021-01-21,0.0,0.0,,,4.0,4.0,18.0,672.0,8.03,3.0,,28,47
200169436,How can I have Rocket Loader ignore specific JavaScripts?,6hULmdxMRBKCYBILGO5MV5,2021-01-21,0.0,0.0,,,1.0,1.0,1.0,136.0,13.2,2.0,,125,237
228009108,Managing Dedicated SSL Certificates,3QHMSpgBOfxhqNZ7TY53qf,2021-01-21,2.0,2.0,,,6.0,6.0,27.0,715.0,7.71,6.0,,186,373
360028146432,Understanding Cloudflare Image Resizing,1t7m71ZzTpx960wP3Ywo3U,2021-01-21,1.0,1.0,,,6.0,6.0,13.0,507.0,9.0,6.0,,7,18
115003687931,Warning about exposing your origin IP address via DNS records,J8uBXMQ2PsA54loXo70A3,2021-01-21,0.0,0.0,,,3.0,3.0,11.0,541.0,8.23,8.0,,95,272
200168856,Importing and exporting DNS records,2j7ZG9bpZo1JwSTewS1my2,2021-01-21,0.0,0.0,,,3.0,3.0,3.0,217.0,10.28,5.0,,68,160
200169466,Using Cloudflare with WebSockets,6Gnqk6V0UkaAmPp7cSAcgY,2021-01-21,0.0,0.0,,,9.0,9.0,13.0,524.0,8.98,6.0,,132,211
200168406,What is Railgun?,3NIOJd6GXLKJjNHUEOHzgI,2021-01-15,0.0,0.0,,,9.0,9.0,41.0,2089.0,8.61,39.0,,523,893
204151138,Understanding Universal SSL,UqaWbKsO3SCaMgElMbBmZ,2021-01-15,0.0,0.0,,,4.0,4.0,13.0,683.0,9.71,8.0,,179,319
227227647,Understanding Automatic HTTPS Rewrites,7quGNe53yt9UHexn7XTR4l,2021-01-15,0.0,0.0,,,3.0,3.0,4.0,227.0,10.0,5.0,,129,210
360031379012,Understanding Certificate Transparency Monitoring,32p45W8l4u2Ey52c0Kda1q,2021-01-15,0.0,0.0,,,4.0,4.0,21.0,575.0,8.42,13.0,,35,46
200172616,Using Cloudflare with Google Analytics,7J2PgD6flx1bPxSCV77xCv,2021-01-15,0.0,0.0,,,2.0,2.0,2.0,107.0,9.97,1.0,,85,110
217720788,Troubleshooting issues sharing to Facebook,3xo1wly2FDT8pIH7ruwE6w,2021-01-15,0.0,0.0,,,1.0,1.0,4.0,194.0,9.46,1.0,,92,154
115000479507,Managing Cloudflare Origin CA certificates,6NsG6X8u8ff5axYrETn7CM,2021-01-15,0.0,0.0,,,7.0,7.0,24.0,1026.0,8.91,6.0,,343,633
360006660072,Understanding and configuring DNSSEC in Cloudflare DNS,3Yeagcu6ZdsDVnFnpOl2Eq,2021-01-12,0.0,0.0,,,5.0,5.0,32.0,1161.0,7.75,7.0,,92,156
205359838,I cannot add my domain to Cloudflare...,55cUscg9kgLkW9Ph6gHaSF,2021-01-12,0.0,0.0,,,4.0,4.0,8.0,620.0,10.45,17.0,,101,439
360017421192,Cloudflare DNS FAQ,1QP08KEa23boEDpStBbrbu,2021-01-11,0.0,0.0,,,22.0,22.0,37.0,1612.0,7.54,25.0,,119,222
200172286,Configuring URL forwarding or redirects with Cloudflare Page Rules,7xYjuHs21SBczAhzFwZmVg,2021-01-08,1.0,1.0,,,4.0,4.0,9.0,462.0,8.61,6.0,,160,352
